# R61 built-in model-facing property inventory v1.
# Columns: tool id, effective hosts, allowed modes, runtime binding, exact descriptor revision, recursive property paths, explicit non-semantic/plumbing review.
# Every property not listed in the final column is current semantic model intent. The final column uses path=decision entries separated by |; `-` means no override.
# The descriptor revision pins descriptions, defaults, validation and schema shape. The binding column identifies the internal resolver; family/effect/result dependencies and target merge/split decisions live in R61_TOOL_CONTRACT_AUDIT.md.
common.capabilities_read	Excel,Outlook,PowerPoint,Word	agent,plan	capabilities.read.intent.v1	83a5377df41216258264626ccd93d35427348bde31354a064bb27ff1355be73f	action,id,referencePath	id=semantic-capability-identity
common.capabilities_search	Excel,Outlook,PowerPoint,Word	agent,plan	capabilities.search.intent.v1	7e647d1a4ae13887d52348b154210db01e9dd818346404a316105e88d68b5e48	kind,query	-
common.html_data_bind	Excel,Outlook,PowerPoint,Word	agent	html.data.bind.v1	df5f3ee219fa9c80bae079c513cefbd5cef916e1b55743e87ff825d2d62f5b38	name,path,policy,target,view	-
common.html_data_freeze	Excel,Outlook,PowerPoint,Word	agent	html.data.freeze.v1	d8a3c55874fef73de5fa0e724c2f468c01b792a3d02c4b17655f8421eb902133	name	-
common.html_data_refresh	Excel,Outlook,PowerPoint,Word	agent	html.data.refresh.v1	8de83e7cb3b8a37b32fb7e48fa978b26f3c249b5d155c10796013f2aa8e9a4a2	name	-
common.html_data_write	Excel,Outlook,PowerPoint,Word	agent	html.data.write.v1	c935bee6c5d1d6d06c49eb771fd8295d07324d799914e4b1025036f23b20f106	json,name	-
common.html_workspace_apply_patch	Excel,Outlook,PowerPoint,Word	agent	html.workspace.apply.patch.v1	61fbb8be7006efd11728272be60d0c70a43f6cc030ed1d960c31d577a6c82320	patch,patch[].find,patch[].op,patch[].text,path	-
common.html_workspace_delete	Excel,Outlook,PowerPoint,Word	agent	html.workspace.delete.v1	940955ecdfe292487031f5d8dcf248567399df6855aee77d3b794ed90d154235	target	-
common.html_workspace_write_file	Excel,Outlook,PowerPoint,Word	agent	html.workspace.write.file.v1	dc06d8014a2a811028d9d063598c7ce56c3ac27147efea56c1827e4ba382a940	content,path	-
common.office_run_macro	Excel,PowerPoint,Word	agent	vba.public.office.run.macro.intent.v2	785bb35acd18fb394c35ffed344318d4eafe0745595175d8313b8551c0b7dee4	arguments,macroName	-
common.plan_doc_delete	Excel,Outlook,PowerPoint,Word	plan	conversation.plan.document.delete.intent.v2	ef754f8f3ffdaba9aaf78a8d5e83cf272f0cdeabb2b35d4b34a42d3c21802209		-
